published_at_utc,genre,artist,album_title,url,tags,image_url
2026-09-25 12:12:25,ambient,400 Lonely Things,Apologizing To Ghosts,https://400lonelythings.bandcamp.com/a/apologizing-to-ghosts,ambient,https://f4.bcbits.com/img/a4267161827_10.jpg
2026-09-25 12:12:29,ambient,Mikkel Rev,Evocation,https://mikkelrevute.bandcamp.com/a/evocation,ambient,https://f4.bcbits.com/img/a4002602034_10.jpg
2026-09-25 12:12:33,ambient,sonnov,larijunoda,https://sonnovdrone.bandcamp.com/a/larijunoda,ambient,https://f4.bcbits.com/img/a1990906216_10.jpg
2026-09-25 13:48:54,ambient,KMRU,crop,https://kmru.bandcamp.com/album/crop,ambient,https://f4.bcbits.com/img/a3605008531_10.jpg
2026-09-25 13:48:58,ambient,Pallette,You're always in my dreams,https://pallette.bandcamp.com/album/youre-always-in-my-dreams,ambient,https://f4.bcbits.com/img/a387986662_10.jpg
2026-09-25 13:49:01,ambient,blochemy,elyth,https://whitelabrecs.bandcamp.com/album/elyth,ambient,https://f4.bcbits.com/img/a771689162_10.jpg
2026-09-25 15:55:22,ambient,Fief,VII,https://fief.bandcamp.com/album/vii,ambient,https://f4.bcbits.com/img/a249326250_10.jpg
2026-09-25 15:55:25,ambient,Mick Chillage,Magic Light,https://mickchillage.bandcamp.com/album/magic-light,ambient,https://f4.bcbits.com/img/a560430493_10.jpg
2026-09-25 15:55:29,ambient,400 Lonely Things,Apologizing To Ghosts,https://400lonelythings.bandcamp.com/album/apologizing-to-ghosts,ambient,https://f4.bcbits.com/img/a4267161827_10.jpg
2026-09-25 20:07:03,ambient,Mikkel Rev,Evocation,https://mikkelrevute.bandcamp.com/album/evocation,ambient,https://f4.bcbits.com/img/a4002602034_10.jpg
2026-09-25 20:07:06,ambient,lilliya,in all our sunlight,https://lilliya.bandcamp.com/album/in-all-our-sunlight,ambient,https://f4.bcbits.com/img/a3668698737_10.jpg
2026-09-25 20:07:11,ambient,Hiroshi Yoshimura,Surround,https://hiroshi-yoshimura.bandcamp.com/album/surround,ambient,https://f4.bcbits.com/img/a958687535_10.jpg
